DEB [20230723-19:30:00.151] thr=1   paramiko.transport: starting thread (client mode): 0x88962e90
DEB [20230723-19:37:59.835] thr=1   paramiko.transport: Got EXT_INFO: {'server-sig-algs': b'ssh-ed25519,sk-ssh-ed25519@openssh.com,ssh-rsa,rsa-sha2-256,rsa-sha2-512,ssh-dss,ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,sk-ecdsa-sha2-nistp256@openssh.com,webauthn-sk-ecdsa-sha2-nistp256@openssh.com', 'publickey-hostbound@openssh.com': b'0'}
DEB [20230723-19:37:59.835] thr=2   paramiko.transport: Adding ssh-ed25519 host key for [162.14.100.125]:10022: b'c16893970dd704773b3be5bd9f7e3126'
DEB [20230723-19:37:59.926] thr=2   paramiko.transport: Trying discovered key b'82c74a4d7addae8bc3f5e2360bc4ea32' in C:\Users\zhaoc/.ssh/id_rsa
DEB [20230723-19:37:59.933] thr=1   paramiko.transport: userauth is OK
DEB [20230723-19:37:59.933] thr=1   paramiko.transport: Finalizing pubkey algorithm for key of type 'ssh-rsa'
DEB [20230723-19:37:59.933] thr=1   paramiko.transport: Our pubkey algorithm list: ['rsa-sha2-512', 'rsa-sha2-256', 'ssh-rsa']
DEB [20230723-19:37:59.933] thr=1   paramiko.transport: Server-side algorithm list: ['ssh-ed25519', 'sk-ssh-ed25519@openssh.com', 'ssh-rsa', 'rsa-sha2-256', 'rsa-sha2-512', 'ssh-dss', 'ecdsa-sha2-nistp256', 'ecdsa-sha2-nistp384', 'ecdsa-sha2-nistp521', 'sk-ecdsa-sha2-nistp256@openssh.com', 'webauthn-sk-ecdsa-sha2-nistp256@openssh.com']
DEB [20230723-19:37:59.933] thr=1   paramiko.transport: Agreed upon 'rsa-sha2-512' pubkey algorithm
INF [20230723-19:37:59.950] thr=1   paramiko.transport: Authentication (publickey) failed.
DEB [20230723-19:37:59.955] thr=1   paramiko.transport: userauth is OK
INF [20230723-19:37:59.978] thr=1   paramiko.transport: Authentication (password) successful!
DEB [20230723-19:38:00.037] thr=1   paramiko.transport: Received global request "hostkeys-00@openssh.com"
DEB [20230723-19:38:00.037] thr=1   paramiko.transport: Rejecting "hostkeys-00@openssh.com" global request from server.
DEB [20230723-19:38:03.063] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20230723-19:38:03.068] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20230723-19:38:03.069] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20230723-19:38:03.076] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230723-19:38:03.077] thr=1   paramiko.transport: EOF in transport thread
DEB [20230723-19:38:03.084] thr=2   paramiko.transport: [chan 0] EOF sent (0)
DEB [20230723-19:38:03.084] thr=2   paramiko.transport: Dropping user packet because connection is dead.
DEB [20230723-19:39:10.449] thr=1   paramiko.transport: starting thread (client mode): 0x9e562f20
DEB [20230723-19:39:10.449] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.11.0
DEB [20230723-19:39:10.459] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_9.0
INF [20230723-19:39:10.459] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_9.0)
DEB [20230723-19:39:10.465] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20230723-19:39:10.465] thr=1   paramiko.transport: kex algos: sntrup761x25519-sha512@openssh.com, curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256
DEB [20230723-19:39:10.465] thr=1   paramiko.transport: server key: rsa-sha2-512, rsa-sha2-256, ecdsa-sha2-nistp256, ssh-ed25519
DEB [20230723-19:39:10.465] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20230723-19:39:10.465] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20230723-19:39:10.465] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20230723-19:39:10.465] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20230723-19:39:10.465] thr=1   paramiko.transport: client compress: none, zlib@openssh.com
DEB [20230723-19:39:10.465] thr=1   paramiko.transport: server compress: none, zlib@openssh.com
DEB [20230723-19:39:10.465] thr=1   paramiko.transport: client lang: <none>
DEB [20230723-19:39:10.465] thr=1   paramiko.transport: server lang: <none>
DEB [20230723-19:39:10.465] thr=1   paramiko.transport: kex follows: False
DEB [20230723-19:39:10.465] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20230723-19:39:10.465] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20230723-19:39:10.465] thr=1   paramiko.transport: HostKey: ssh-ed25519
DEB [20230723-19:39:10.465] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20230723-19:39:10.465] thr=1   paramiko.transport: MAC: hmac-sha2-256
DEB [20230723-19:39:10.465] thr=1   paramiko.transport: Compression: none
DEB [20230723-19:39:10.465] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20230723-19:39:10.476] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230723-19:39:10.476] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230723-19:39:10.476] thr=1   paramiko.transport: Got EXT_INFO: {'server-sig-algs': b'ssh-ed25519,sk-ssh-ed25519@openssh.com,ssh-rsa,rsa-sha2-256,rsa-sha2-512,ssh-dss,ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,sk-ecdsa-sha2-nistp256@openssh.com,webauthn-sk-ecdsa-sha2-nistp256@openssh.com', 'publickey-hostbound@openssh.com': b'0'}
DEB [20230723-19:39:10.476] thr=2   paramiko.transport: Adding ssh-ed25519 host key for [162.14.100.125]:10022: b'c16893970dd704773b3be5bd9f7e3126'
DEB [20230723-19:39:10.566] thr=2   paramiko.transport: Trying discovered key b'82c74a4d7addae8bc3f5e2360bc4ea32' in C:\Users\zhaoc/.ssh/id_rsa
DEB [20230723-19:39:10.571] thr=1   paramiko.transport: userauth is OK
DEB [20230723-19:39:10.571] thr=1   paramiko.transport: Finalizing pubkey algorithm for key of type 'ssh-rsa'
DEB [20230723-19:39:10.571] thr=1   paramiko.transport: Our pubkey algorithm list: ['rsa-sha2-512', 'rsa-sha2-256', 'ssh-rsa']
DEB [20230723-19:39:10.571] thr=1   paramiko.transport: Server-side algorithm list: ['ssh-ed25519', 'sk-ssh-ed25519@openssh.com', 'ssh-rsa', 'rsa-sha2-256', 'rsa-sha2-512', 'ssh-dss', 'ecdsa-sha2-nistp256', 'ecdsa-sha2-nistp384', 'ecdsa-sha2-nistp521', 'sk-ecdsa-sha2-nistp256@openssh.com', 'webauthn-sk-ecdsa-sha2-nistp256@openssh.com']
DEB [20230723-19:39:10.571] thr=1   paramiko.transport: Agreed upon 'rsa-sha2-512' pubkey algorithm
INF [20230723-19:39:10.588] thr=1   paramiko.transport: Authentication (publickey) failed.
DEB [20230723-19:39:10.593] thr=1   paramiko.transport: userauth is OK
INF [20230723-19:39:10.616] thr=1   paramiko.transport: Authentication (password) successful!
DEB [20230723-19:39:10.668] thr=1   paramiko.transport: Received global request "hostkeys-00@openssh.com"
DEB [20230723-19:39:10.668] thr=1   paramiko.transport: Rejecting "hostkeys-00@openssh.com" global request from server.
DEB [20230723-19:39:31.471] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20230723-19:39:31.477] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20230723-19:39:31.477] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20230723-19:39:31.482] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230723-19:39:31.483] thr=1   paramiko.transport: EOF in transport thread
DEB [20230723-19:39:31.489] thr=2   paramiko.transport: [chan 0] EOF sent (0)
DEB [20230723-19:39:31.490] thr=2   paramiko.transport: Dropping user packet because connection is dead.
DEB [20230723-19:39:40.401] thr=1   paramiko.transport: starting thread (client mode): 0x586d2f20
DEB [20230723-19:39:40.402] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.11.0
DEB [20230723-19:39:40.402] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_9.0
INF [20230723-19:39:40.402] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_9.0)
DEB [20230723-19:39:40.410] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20230723-19:39:40.410] thr=1   paramiko.transport: kex algos: sntrup761x25519-sha512@openssh.com, curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256
DEB [20230723-19:39:40.410] thr=1   paramiko.transport: server key: rsa-sha2-512, rsa-sha2-256, ecdsa-sha2-nistp256, ssh-ed25519
DEB [20230723-19:39:40.410] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20230723-19:39:40.410] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20230723-19:39:40.410] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20230723-19:39:40.410] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20230723-19:39:40.410] thr=1   paramiko.transport: client compress: none, zlib@openssh.com
DEB [20230723-19:39:40.410] thr=1   paramiko.transport: server compress: none, zlib@openssh.com
DEB [20230723-19:39:40.410] thr=1   paramiko.transport: client lang: <none>
DEB [20230723-19:39:40.410] thr=1   paramiko.transport: server lang: <none>
DEB [20230723-19:39:40.410] thr=1   paramiko.transport: kex follows: False
DEB [20230723-19:39:40.410] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20230723-19:39:40.410] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20230723-19:39:40.410] thr=1   paramiko.transport: HostKey: ssh-ed25519
DEB [20230723-19:39:40.410] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20230723-19:39:40.410] thr=1   paramiko.transport: MAC: hmac-sha2-256
DEB [20230723-19:39:40.410] thr=1   paramiko.transport: Compression: none
DEB [20230723-19:39:40.411] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20230723-19:39:40.469] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230723-19:39:40.469] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230723-19:39:40.469] thr=2   paramiko.transport: Adding ssh-ed25519 host key for [162.14.100.125]:10022: b'c16893970dd704773b3be5bd9f7e3126'
DEB [20230723-19:39:40.469] thr=1   paramiko.transport: Got EXT_INFO: {'server-sig-algs': b'ssh-ed25519,sk-ssh-ed25519@openssh.com,ssh-rsa,rsa-sha2-256,rsa-sha2-512,ssh-dss,ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,sk-ecdsa-sha2-nistp256@openssh.com,webauthn-sk-ecdsa-sha2-nistp256@openssh.com', 'publickey-hostbound@openssh.com': b'0'}
DEB [20230723-19:39:40.559] thr=2   paramiko.transport: Trying discovered key b'82c74a4d7addae8bc3f5e2360bc4ea32' in C:\Users\zhaoc/.ssh/id_rsa
DEB [20230723-19:39:40.565] thr=1   paramiko.transport: userauth is OK
DEB [20230723-19:39:40.565] thr=1   paramiko.transport: Finalizing pubkey algorithm for key of type 'ssh-rsa'
DEB [20230723-19:39:40.565] thr=1   paramiko.transport: Our pubkey algorithm list: ['rsa-sha2-512', 'rsa-sha2-256', 'ssh-rsa']
DEB [20230723-19:39:40.565] thr=1   paramiko.transport: Server-side algorithm list: ['ssh-ed25519', 'sk-ssh-ed25519@openssh.com', 'ssh-rsa', 'rsa-sha2-256', 'rsa-sha2-512', 'ssh-dss', 'ecdsa-sha2-nistp256', 'ecdsa-sha2-nistp384', 'ecdsa-sha2-nistp521', 'sk-ecdsa-sha2-nistp256@openssh.com', 'webauthn-sk-ecdsa-sha2-nistp256@openssh.com']
DEB [20230723-19:39:40.565] thr=1   paramiko.transport: Agreed upon 'rsa-sha2-512' pubkey algorithm
INF [20230723-19:39:40.583] thr=1   paramiko.transport: Authentication (publickey) failed.
DEB [20230723-19:39:40.588] thr=1   paramiko.transport: userauth is OK
INF [20230723-19:39:40.613] thr=1   paramiko.transport: Authentication (password) successful!
DEB [20230723-19:39:40.662] thr=1   paramiko.transport: Received global request "hostkeys-00@openssh.com"
DEB [20230723-19:39:40.662] thr=1   paramiko.transport: Rejecting "hostkeys-00@openssh.com" global request from server.
DEB [20230723-19:40:12.392] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20230723-19:40:12.398] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20230723-19:40:12.398] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20230723-19:40:12.404] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230723-19:40:12.412] thr=2   paramiko.transport: [chan 0] EOF sent (0)
DEB [20230723-19:40:12.412] thr=2   paramiko.transport: Dropping user packet because connection is dead.
DEB [20230723-19:43:25.646] thr=1   paramiko.transport: starting thread (client mode): 0x7fde36d0
DEB [20230723-19:43:25.646] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.11.0
DEB [20230723-19:43:25.646] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_9.0
INF [20230723-19:43:25.646] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_9.0)
DEB [20230723-19:43:25.652] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20230723-19:43:25.653] thr=1   paramiko.transport: kex algos: sntrup761x25519-sha512@openssh.com, curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256
DEB [20230723-19:43:25.653] thr=1   paramiko.transport: server key: rsa-sha2-512, rsa-sha2-256, ecdsa-sha2-nistp256, ssh-ed25519
DEB [20230723-19:43:25.653] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20230723-19:43:25.653] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20230723-19:43:25.653] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20230723-19:43:25.653] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20230723-19:43:25.653] thr=1   paramiko.transport: client compress: none, zlib@openssh.com
DEB [20230723-19:43:25.653] thr=1   paramiko.transport: server compress: none, zlib@openssh.com
DEB [20230723-19:43:25.653] thr=1   paramiko.transport: client lang: <none>
DEB [20230723-19:43:25.653] thr=1   paramiko.transport: server lang: <none>
DEB [20230723-19:43:25.653] thr=1   paramiko.transport: kex follows: False
DEB [20230723-19:43:25.653] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20230723-19:43:25.653] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20230723-19:43:25.653] thr=1   paramiko.transport: HostKey: ecdsa-sha2-nistp256
DEB [20230723-19:43:25.653] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20230723-19:43:25.653] thr=1   paramiko.transport: MAC: hmac-sha2-256
DEB [20230723-19:43:25.653] thr=1   paramiko.transport: Compression: none
DEB [20230723-19:43:25.653] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20230723-19:43:25.706] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230723-19:43:25.706] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230723-19:43:25.706] thr=1   paramiko.transport: Got EXT_INFO: {'server-sig-algs': b'ssh-ed25519,sk-ssh-ed25519@openssh.com,ssh-rsa,rsa-sha2-256,rsa-sha2-512,ssh-dss,ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,sk-ecdsa-sha2-nistp256@openssh.com,webauthn-sk-ecdsa-sha2-nistp256@openssh.com', 'publickey-hostbound@openssh.com': b'0'}
DEB [20230723-19:43:25.798] thr=2   paramiko.transport: Trying discovered key b'82c74a4d7addae8bc3f5e2360bc4ea32' in C:\Users\zhaoc/.ssh/id_rsa
DEB [20230723-19:43:25.804] thr=1   paramiko.transport: userauth is OK
DEB [20230723-19:43:25.804] thr=1   paramiko.transport: Finalizing pubkey algorithm for key of type 'ssh-rsa'
DEB [20230723-19:43:25.804] thr=1   paramiko.transport: Our pubkey algorithm list: ['rsa-sha2-512', 'rsa-sha2-256', 'ssh-rsa']
DEB [20230723-19:43:25.804] thr=1   paramiko.transport: Server-side algorithm list: ['ssh-ed25519', 'sk-ssh-ed25519@openssh.com', 'ssh-rsa', 'rsa-sha2-256', 'rsa-sha2-512', 'ssh-dss', 'ecdsa-sha2-nistp256', 'ecdsa-sha2-nistp384', 'ecdsa-sha2-nistp521', 'sk-ecdsa-sha2-nistp256@openssh.com', 'webauthn-sk-ecdsa-sha2-nistp256@openssh.com']
DEB [20230723-19:43:25.804] thr=1   paramiko.transport: Agreed upon 'rsa-sha2-512' pubkey algorithm
INF [20230723-19:43:25.821] thr=1   paramiko.transport: Authentication (publickey) failed.
DEB [20230723-19:43:25.826] thr=1   paramiko.transport: userauth is OK
INF [20230723-19:43:25.849] thr=1   paramiko.transport: Authentication (password) successful!
DEB [20230723-19:43:25.907] thr=1   paramiko.transport: Received global request "hostkeys-00@openssh.com"
DEB [20230723-19:43:25.907] thr=1   paramiko.transport: Rejecting "hostkeys-00@openssh.com" global request from server.
DEB [20230723-19:43:28.915] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20230723-19:43:28.920] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20230723-19:43:28.920] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20230723-19:43:28.925] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230723-19:43:28.926] thr=1   paramiko.transport: EOF in transport thread
DEB [20230723-19:43:28.933] thr=2   paramiko.transport: [chan 0] EOF sent (0)
DEB [20230723-19:43:28.933] thr=2   paramiko.transport: Dropping user packet because connection is dead.
